6,57,10
9,57,10
12,54,10
12,57,10
12,60,10
15,51,10
15,54,10
15,63,10
15,66,10
18,48,10
18,66,10
18,69,10
21,48,10
21,69,10
21,72,10
24,48,10
24,72,10
27,48,10
27,69,10
30,45,10
30,48,10
30,66,10
33,36,10
33,39,10
33,42,10
33,45,10
33,66,10
36,30,10
36,33,10
36,66,10
39,27,10
39,66,10
42,24,10
45,21,10
45,36,10
45,63,10
48,21,10
48,39,10
48,63,10
51,21,10
51,42,10
51,51,10
51,60,10
54,21,10
54,42,10
54,51,10
54,60,10
57,6,10
57,9,10
57,21,10
57,42,10
57,51,10
57,60,10
60,6,10
60,21,10
60,42,10
60,45,10
60,48,10
60,51,10
60,60,10
63,3,10
63,21,10
63,51,10
63,63,10
66,3,10
66,6,10
66,21,10
66,51,10
66,54,10
66,63,10
69,6,10
69,9,10
69,12,10
69,15,10
69,18,10
69,21,10
69,24,10
69,27,10
69,30,10
69,33,10
69,36,10
69,39,10
69,42,10
69,45,10
69,48,10
69,51,10
69,54,10
69,57,10
69,60,10
69,63,10
