0,42,9,10
1,36,72,10
2,45,9,10
3,27,24,10
4,36,18,10
5,48,12,10
6,33,18,10
7,48,18,10
8,45,18,10
9,27,48,10
10,48,15,10
11,60,48,10
12,60,30,10
13,30,63,10
14,33,57,10
15,45,12,10
16,54,18,10
17,60,36,10
18,15,39,10
19,60,39,10
20,27,6,10
21,27,3,10
22,30,21,10
23,24,30,10
24,24,6,10
25,54,57,10
26,30,54,10
27,60,33,10
28,15,36,10
29,27,33,10
30,30,6,10
31,30,57,10
32,39,18,10
33,27,39,10
34,24,51,10
35,21,45,10
36,60,42,10
37,57,57,10
38,51,66,10
39,51,18,10
40,30,60,10
41,57,21,10
42,27,30,10
43,24,9,10
44,36,57,10
45,33,21,10
46,60,27,10
47,27,27,10
48,21,33,10
49,30,12,10
50,27,36,10
51,57,54,10
52,27,45,10
53,21,39,10
54,60,45,10
55,60,51,10
56,33,6,10
57,24,48,10
58,27,42,10
59,27,51,10
60,33,15,10
61,48,69,10
62,45,60,10
63,36,60,10
64,21,42,10
65,21,36,10
66,45,72,10
67,24,27,10
68,33,69,10
69,42,60,10
70,42,66,10
71,18,36,10
72,60,54,10
73,51,63,10
74,36,63,10
75,18,42,10
76,51,60,10
77,45,63,10
78,39,72,10
79,42,18,10
80,33,66,10
81,30,24,10
82,36,69,10
83,60,24,10
84,39,9,10
85,48,60,10
86,39,66,10
87,27,12,10
88,42,72,10
89,39,60,10
